sku,product_name,category,base_price_gbp,cost_price_gbp,floor_price_gbp,current_clearance_active
SKU-1049,Product 49,Seasonal,311.89,227.74,227.96,False
SKU-1050,Product 50,Electronics,75.79,54.4,63.91,False
SKU-1051,Product 51,Grocery,101.96,67.65,74.27,False
SKU-1052,Product 52,Home,18.2,11.13,16.32,False
SKU-1053,Product 53,Fashion,357.31,254.07,307.97,False
SKU-1054,Product 54,Health,304.21,231.36,229.56,False
SKU-1055,Product 55,Toys,321.75,245.56,237.56,False
SKU-1056,Product 56,Seasonal,354.62,227.3,268.34,False
SKU-1057,Product 57,Electronics,214.63,133.93,196.6,False
SKU-1058,Product 58,Grocery,262.4,208.54,212.99,False
SKU-1059,Product 59,Home,75.81,60.95,66.47,False
SKU-1060,Product 60,Fashion,64.82,43.9,54.92,False
SKU-1061,Product 61,Health,305.76,240.0,255.15,False
SKU-1062,Product 62,Toys,219.93,136.81,164.73,False
SKU-1063,Product 63,Seasonal,260.88,194.49,237.19,False
SKU-1064,Product 64,Electronics,347.77,273.16,271.35,False
SKU-1065,Product 65,Grocery,291.1,174.36,243.24,False
SKU-1066,Product 66,Home,255.81,199.6,219.99,False
SKU-1067,Product 67,Fashion,258.26,194.13,219.48,False
SKU-1068,Product 68,Health,147.22,115.29,133.69,False
SKU-1069,Product 69,Toys,28.41,22.51,21.3,False
SKU-1070,Product 70,Seasonal,204.97,167.04,168.42,False
SKU-1071,Product 71,Electronics,108.34,87.4,86.76,False
SKU-1072,Product 72,Grocery,192.71,149.94,157.03,False
SKU-1073,Product 73,Home,386.23,311.76,287.29,False
SKU-1074,Product 74,Fashion,116.76,79.18,87.2,False
SKU-1075,Product 75,Health,40.36,26.5,31.3,False
SKU-1076,Product 76,Toys,137.4,99.69,107.3,False
SKU-1077,Product 77,Seasonal,142.71,106.13,114.96,False
SKU-1078,Product 78,Electronics,302.93,211.72,255.13,False
SKU-1079,Product 79,Grocery,257.31,156.96,217.92,False
SKU-1080,Product 80,Home,356.0,219.2,285.64,False
SKU-1081,Product 81,Fashion,303.98,246.09,243.72,False
SKU-1082,Product 82,Health,191.78,148.91,146.43,False
SKU-1083,Product 83,Toys,369.1,281.69,309.18,False
SKU-1084,Product 84,Seasonal,87.63,66.61,68.65,False
SKU-1085,Product 85,Electronics,24.88,16.99,18.09,False
SKU-1086,Product 86,Grocery,54.17,39.01,43.54,False
SKU-1087,Product 87,Home,329.23,266.08,268.27,False
SKU-1088,Product 88,Fashion,215.92,157.69,165.2,False
SKU-1089,Product 89,Health,85.15,59.12,71.06,False
SKU-1090,Product 90,Toys,232.95,185.33,194.08,False
SKU-1091,Product 91,Seasonal,81.26,50.38,69.92,False
SKU-1092,Product 92,Electronics,317.9,256.71,270.08,False
SKU-1093,Product 93,Grocery,209.08,125.04,177.82,False
SKU-1094,Product 94,Home,180.74,143.91,141.56,False
SKU-1095,Product 95,Fashion,146.16,90.26,128.25,False
SKU-1096,Product 96,Health,289.17,174.47,239.96,False
SKU-1097,Product 97,Toys,172.39,100.83,139.0,False
SKU-1098,Product 98,Seasonal,53.13,33.34,44.91,False
SKU-1099,Product 99,Electronics,66.33,41.98,52.54,False
SKU-1100,Product 100,Grocery,433.43,288.58,356.52,False
SKU-1101,Product 101,Home,410.23,259.69,355.81,False
SKU-1102,Product 102,Fashion,319.37,251.57,286.56,False
SKU-1103,Product 103,Health,130.65,90.32,118.14,False
SKU-1104,Product 104,Toys,436.59,304.12,358.32,False
SKU-1105,Product 105,Seasonal,353.76,217.27,291.52,False
SKU-1106,Product 106,Electronics,326.85,231.71,287.62,False
SKU-1107,Product 107,Grocery,210.47,153.13,164.77,False
SKU-1108,Product 108,Home,133.43,88.93,118.42,False
SKU-1109,Product 109,Fashion,56.93,43.04,46.62,False
SKU-1110,Product 110,Health,407.63,320.58,302.94,False
SKU-1111,Product 111,Toys,213.26,150.41,156.62,False
SKU-1112,Product 112,Seasonal,103.03,74.18,91.53,False
SKU-1113,Product 113,Electronics,148.09,113.17,108.27,False
SKU-1114,Product 114,Grocery,266.96,195.36,207.19,False
SKU-1115,Product 115,Home,91.9,67.28,72.31,False
SKU-1116,Product 116,Fashion,387.63,287.39,292.51,False
SKU-1117,Product 117,Health,344.96,251.45,270.03,False
SKU-1118,Product 118,Toys,327.97,214.96,284.85,False
SKU-1119,Product 119,Seasonal,202.96,151.97,146.73,False
SKU-1120,Product 120,Electronics,287.88,170.5,254.9,False
SKU-1121,Product 121,Grocery,269.08,161.47,239.83,False
SKU-1122,Product 122,Home,297.68,209.74,236.49,False
SKU-1123,Product 123,Fashion,51.73,38.34,38.83,False
SKU-1124,Product 124,Health,195.88,135.45,164.57,False
SKU-1125,Product 125,Toys,33.1,20.4,24.62,False
SKU-1126,Product 126,Seasonal,229.89,152.5,182.3,False
SKU-1127,Product 127,Electronics,158.49,99.36,144.49,False
SKU-1128,Product 128,Grocery,77.87,53.9,71.57,False
SKU-1129,Product 129,Home,59.98,40.07,52.45,False
SKU-1130,Product 130,Fashion,270.63,203.2,211.68,False
SKU-1131,Product 131,Health,89.21,57.42,76.5,False
SKU-1132,Product 132,Toys,417.43,322.02,359.44,False
SKU-1133,Product 133,Seasonal,267.76,174.91,213.56,False
SKU-1134,Product 134,Electronics,165.89,101.76,140.7,False
SKU-1135,Product 135,Grocery,272.05,214.46,196.46,False
SKU-1136,Product 136,Home,24.92,16.76,18.98,False
SKU-1137,Product 137,Fashion,431.97,344.36,356.38,False
SKU-1138,Product 138,Health,224.8,145.18,169.22,False
SKU-1139,Product 139,Toys,355.49,284.29,267.75,False
SKU-1140,Product 140,Seasonal,50.99,30.36,45.24,False
SKU-1141,Product 141,Electronics,226.7,178.42,208.07,False
SKU-1142,Product 142,Grocery,228.46,134.76,189.89,False
SKU-1143,Product 143,Home,422.95,265.52,375.5,False
SKU-1144,Product 144,Fashion,263.7,178.66,242.09,False
SKU-1145,Product 145,Health,220.97,139.69,165.36,False
SKU-1146,Product 146,Toys,131.13,82.5,106.17,False
SKU-1147,Product 147,Seasonal,159.23,94.42,127.15,False
SKU-1148,Product 148,Electronics,241.49,183.34,177.74,False
SKU-1149,Product 149,Grocery,205.93,139.7,179.38,False
SKU-1150,Product 150,Home,24.4,19.45,19.68,False
SKU-1151,Product 151,Fashion,374.44,251.67,304.74,False
SKU-1152,Product 152,Health,404.83,315.32,303.68,False
SKU-1153,Product 153,Toys,76.01,52.02,57.48,False
SKU-1154,Product 154,Seasonal,256.01,174.76,230.77,False
SKU-1155,Product 155,Electronics,62.23,44.07,45.36,False
SKU-1156,Product 156,Grocery,307.42,213.52,235.66,False
SKU-1157,Product 157,Home,137.34,87.44,106.91,False
SKU-1158,Product 158,Fashion,301.85,189.62,246.93,False
SKU-1159,Product 159,Health,331.24,232.49,277.34,False
SKU-1160,Product 160,Toys,349.36,236.2,286.01,False
SKU-1161,Product 161,Seasonal,61.87,36.91,45.59,False
SKU-1162,Product 162,Electronics,413.47,327.16,317.85,False
SKU-1163,Product 163,Grocery,115.14,91.18,102.33,False
SKU-1164,Product 164,Home,31.27,24.98,26.5,False
SKU-1165,Product 165,Fashion,256.36,169.74,217.86,False
SKU-1166,Product 166,Health,176.35,126.89,150.61,False
SKU-1167,Product 167,Toys,375.96,238.42,328.06,False
SKU-1168,Product 168,Seasonal,366.59,241.55,268.21,False
SKU-1169,Product 169,Electronics,152.96,113.18,121.35,False
SKU-1170,Product 170,Grocery,429.51,259.59,355.59,False
SKU-1171,Product 171,Home,141.55,90.17,111.5,False
SKU-1172,Product 172,Fashion,239.05,180.5,212.49,False
SKU-1173,Product 173,Health,126.34,92.56,103.16,False
SKU-1174,Product 174,Toys,422.18,314.33,368.87,False
SKU-1175,Product 175,Seasonal,86.6,67.74,77.11,False
SKU-1176,Product 176,Electronics,34.54,27.1,28.36,False
SKU-1177,Product 177,Grocery,204.27,121.61,184.23,False
SKU-1178,Product 178,Home,446.68,319.33,374.06,False
SKU-1179,Product 179,Fashion,402.88,293.3,358.59,False
SKU-1180,Product 180,Health,340.64,219.67,268.46,False
SKU-1181,Product 181,Toys,402.49,276.62,329.95,False
SKU-1182,Product 182,Seasonal,403.65,240.3,333.53,False
SKU-1183,Product 183,Electronics,240.7,152.3,178.36,False
SKU-1184,Product 184,Grocery,152.43,107.46,121.9,False
SKU-1185,Product 185,Home,350.83,255.99,316.96,False
SKU-1186,Product 186,Fashion,302.82,176.61,256.24,False
SKU-1187,Product 187,Health,177.54,115.0,134.13,False
SKU-1188,Product 188,Toys,56.09,33.19,44.19,False
SKU-1189,Product 189,Seasonal,339.85,269.01,257.72,False
SKU-1190,Product 190,Electronics,129.17,79.55,93.64,False
SKU-1191,Product 191,Grocery,422.51,281.86,382.58,False
SKU-1192,Product 192,Home,119.82,94.75,97.01,False
SKU-1193,Product 193,Fashion,68.4,46.43,53.46,False
SKU-1194,Product 194,Health,376.53,246.75,316.17,False
SKU-1195,Product 195,Toys,81.68,66.74,58.93,False
SKU-1196,Product 196,Seasonal,92.98,66.11,72.12,False
SKU-1197,Product 197,Electronics,275.73,171.48,237.3,False
SKU-1198,Product 198,Grocery,395.43,296.22,334.83,False
SKU-1199,Product 199,Home,100.45,71.31,92.05,False
SKU-1200,Product 200,Fashion,149.99,107.07,126.6,False
